Rnd,Pick,Tm,Player,Pos,Age,To,Misc.AP1,Misc.PB,St,wAV,DrAV,G,Pass.Cmp,Pass.Att,Pass.Yds,Pass.TD,Pass.Int,Rush.Att,Rush.Yds,Rush.TD,Rec.Rec,Rec.Yds,Rec.TD,Solo,Int,Sk,College/Univ,,-9999
7,238,LVR,Thayer Munford,OL,22,2023,0,0,0,8,8,32,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,MunfTh00
7,239,IND,Rodney Thomas II,LB,24,2023,0,0,1,9,9,34,0,0,0,0,0,0,0,0,0,0,0,64,6,,Yale,,ThomRo07
7,240,WAS,Christian Holmes,CB,24,2023,0,0,0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,11,,,Oklahoma St.,College Stats,HolmCh00
7,241,PIT,Chris Oladokun,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota St.,,OladCh00
7,242,CAR,Kalon Barnes,CB,23,2022,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,BarnKa00
7,243,KAN,Jaylen Watson,DB,23,2023,0,0,0,5,5,32,0,0,0,0,0,0,0,0,0,0,0,65,1,2,Washington St.,College Stats,WatsJa02
7,244,ARI,Christian Matthew,DB,25,2023,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,,Valdosta St.,,MattCh01
7,245,NWE,Andrew Stueber,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,StueAn00
7,246,CLE,Dawson Deaton,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,DeatDa00
7,247,MIA,Skylar Thompson,QB,25,2022,0,0,0,2,2,7,60,105,534,1,3,14,21,0,0,0,0,,,,Kansas St.,College Stats,ThomSk00
7,248,TAM,Andre Anthony,DE,25,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,AnthAn00
7,249,GNB,Rasheed Walker,OL,22,2023,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,WalkRa00
7,250,LVR,Brittain Brown,RB,24,2022,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,BrowBr06
7,251,KAN,Isiah Pacheco,RB,23,2023,0,0,1,15,15,31,0,0,0,0,0,375,1765,12,57,374,2,2,,,Rutgers,College Stats,PachIs00
7,252,CIN,Jeff Gunter,OLB,23,2022,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Coastal Carolina,College Stats,GuntJe01
7,253,LAR,Russ Yeast,DB,23,2023,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,53,,,Kansas St.,College Stats,YeasRu00
7,254,CHI,Elijah Hicks,S,22,2023,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,35,,,California,College Stats,HickEl00
7,255,CHI,Trenton Gill,P,23,2023,0,0,1,4,4,34,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.,College Stats,GillTr01
7,256,ARI,Jesse Luketa,LB,23,2023,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,7,,,Penn St.,College Stats,LukeJe00
7,257,ARI,Marquis Hayes,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,HayeMa00
7,258,GNB,Samori Toure,WR,24,2023,0,0,0,2,2,22,0,0,0,0,0,0,0,0,13,160,1,,,,Nebraska,College Stats,TourSa00
7,259,KAN,Nazeeh Johnson,S,24,2022,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,5,,,Marshall,College Stats,JohnNa01
7,260,LAC,Zander Horvath,RB,23,2022,0,0,0,0,0,15,0,0,0,0,0,4,8,0,5,8,2,1,,,Purdue,College Stats,HorvZa00
7,261,LAR,AJ Arcuri,OT,25,2022,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,College Stats,ArcuAJ00
7,262,SFO,Brock Purdy,QB,22,2023,0,1,0,24,24,25,422,614,5654,44,15,61,157,3,0,0,0,,,,Iowa St.,College Stats,PurdBr00
